CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__SourceLookupField__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c,Description__c,SBQQ__SourceVariable__c,Errors,Id
EUR,a0c5E0000020LYdQAM,PricingSystem__c,"IF (ISNULL(Id) && ISNULL(SalesListPrice__c) , 'Manual', BLANKVALUE(PricingSystem__c, ''))",95,,Quote Line,,,,,,a0a5E000004m1aqQAA
EUR,a0c5E0000020LYWQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": Parent"" + Quant__c + SBQQ__Quantity__c + SalesListPrice__c",99,,Quote Line,,,,,,a0a5E000004m1arQAA
EUR,a0c5E0000020LYNQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "":PPrice""",99,,Quote Line,,null,,,,a0a5E000004m1asQAA
EUR,a0c5E0000020LYYQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "":Conv"" + TEXT(UOM__c) + TEXT(SLPUOM__c) + SBQQ__Quantity__c + Quant__c + UOMconversion__c",99,,Quote Line,,null,,,,a0a5E000004m1atQAA
EUR,a0c5E0000020LYTQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": Exact"" + Quant__c + SBQQ__Quantity__c",99,,Quote Line,,null,,,,a0a5E000004m1auQAA
EUR,a0c5E0000020LYRQA2,SalesListPriceLog__c,SalesListPriceLog__c + ': Reset',99,,Quote Line,,,,,,a0a5E000004m1avQAA
EUR,a0c5E0000020LYdQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": Post"" + SBQQ__Quantity__c + SalesListPrice__c",99,,Quote Line,,,,,,a0a5E000004m1awQAA
EUR,a0c5E0000020LYbQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": CostDef""",99,,Quote Line,,,,,,a0a5E000004m1axQAA
EUR,a0c5E0000020LYEQA2,SalesListPriceLog__c,"SalesListPriceLog__c + ""Init2:""+ BLANKVALUE(PricingSystem__c, 'no' )",99,,Quote Line,,,,,,a0a5E000004m1ayQAA
EUR,a0c5E0000020LYcQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": CostExact""",99,,Quote Line,,,,,,a0a5E000004m1azQAA
EUR,a0c5E0000020LYDQA2,SalesListPriceLog__c,"SalesListPriceLog__c + ""Init1a:"" + UOM__c + StartUOM__c",99,,Quote Line,,,,,,a0a5E000004m1b0QAA
EUR,a0c5E0000020LYXQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": SLPC2""",99,,Quote Line,,,,,,a0a5E000004m1b1QAA
EUR,a0c5E0000020LYgQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": Appr2"" + TF_PricePerUOMChange__c + TF_MarkUp1Change__c + TF_ApprovalNeeded__c + TF_RecordChanged__c",99,,Quote Line,,,,,,a0a5E000004m1b2QAA
EUR,a0c5E0000020LYgQAM,TF_MarkUp1Change__c,"IF(PricingSystem__c <> 'Manual', 0, IF(MarkUp1__c <> 0, ((MarkUp1__c / TF_MarkUp1__c) * 100 - 100), 0))",15,,Quote Line,,,,,,a0a5E000004m1b3QAA
