CurrencyIsoCode,Name,SBQQ__Template__c,SBQQ__BorderColor__c,SBQQ__BottomMargin__c,SBQQ__ColumnHeaderHidden__c,SBQQ__ConditionalPrintField__c,SBQQ__DisplayOrder__c,SBQQ__FilterField__c,SBQQ__FilterOperator__c,SBQQ__FilterValue__c,SBQQ__GroupField__c,SBQQ__KeepTogether__c,SBQQ__KeepWithNext__c,SBQQ__KeepWithPrevious__c,SBQQ__PageBreak__c,SBQQ__QuoteTotalsPrinted__c,SBQQ__RollUpField__c,SBQQ__SummaryDisplay__c,SBQQ__TopMargin__c,Key__c,SBQQ__Content__c,Errors,Id
EUR,Terms and Validity,a0s5E000003GcTXQA0,000000,0,false,,30,,,,,Auto,Auto,,,false,,,0,TS-1005,a175E000001tqmkQAA,,a185E000000r990QAA
EUR,IMCD details,a0s5E000003GcTXQA0,000000,0,false,IsNotNEUVENDIS__c,10,,,,,Auto,Auto,,,false,,,0,TS-1001,a175E000001tqmqQAA,,a185E000000r991QAA
EUR,Goods,a0s5E000003GcTXQA0,000000,0,false,IsNotRenewal__c,50,,,,,Auto,Auto,,,false,,,0,TS-1007,a175E000001tqmmQAA,,a185E000000r992QAA
EUR,with IMCD transport,a0s5E000003GcTXQA0,000000,0,false,IMCDcustomerdelivery__c,20,,,,,Auto,Auto,,,false,,,0,TS-1003,a175E000001tqmpQAA,,a185E000000r993QAA
EUR,without IMCD transport,a0s5E000003GcTXQA0,000000,0,false,IMCDwarehousedelivery__c,20,,,,,Auto,Auto,,,false,,,0,TS-1004,a175E000001tqmnQAA,,a185E000000r994QAA
EUR,Renewal Goods,a0s5E000003GcTXQA0,000000,0,false,IsRenewal__c,50,,,,,Auto,Auto,,,false,,,0,TS-1008,a175E000001tqnVQAQ,,a185E000000r995QAA
EUR,Small Letters TC,a0s5E000003GcTXQA0,,0,false,,100,,,,,Auto,Auto,,Before,false,,,0,TS-1013,a175E000001tqnRQAQ,,a185E000000r996QAA
EUR,Quote Comments,a0s5E000003GcTXQA0,000000,0,false,,60,,,,,Auto,Auto,,,false,,,0,TS-1010,a175E000001tqnSQAQ,,a185E000000r997QAA
EUR,Salesrep Details REN,a0s5E000003GcTYQA0,000000,0,false,,70,,,,,Auto,Auto,,,false,,,0,TS-3009,a175E000001tqmjQAA,,a185E000000r998QAA
EUR,External REN,a0s5E000003GcTYQA0,000000,0,false,IMCDcustomerdelivery__c,20,,,,,Auto,Auto,,,false,,,0,TS-3002,a175E000001tqmpQAA,,a185E000000r999QAA
EUR,Destination Details REN,a0s5E000003GcTYQA0,000000,0,false,IMCDcustomerdelivery__c,40,,,,,Auto,Auto,,,false,,,0,TS-3005,a175E000001tqnQQAQ,,a185E000000r99AQAQ
EUR,NEUVENDIS details,a0s5E000003GcTXQA0,000000,0,false,IsNEUVENDIS__c,10,,,,,Auto,Auto,,,false,,,0,TS-1002,a175E000001tqnTQAQ,,a185E000000r99BQAQ
EUR,Salesrep Details,a0s5E000003GcTXQA0,000000,0,false,,70,,,,,Auto,Auto,,,false,,,0,TS-1011,a175E000001tqmjQAA,,a185E000000r99CQAQ
EUR,Destination Details,a0s5E000003GcTXQA0,000000,0,false,IMCDcustomerdelivery__c,40,,,,,Auto,Auto,,,false,,,0,TS-1006,a175E000001tqnQQAQ,,a185E000000r99DQAQ
EUR,IMCD Details REN,a0s5E000003GcTYQA0,000000,0,false,,10,,,,,Auto,Auto,,,false,,,0,TS-3001,a175E000001tqmqQAA,,a185E000000r99EQAQ
EUR,Quote Comments REN,a0s5E000003GcTYQA0,000000,0,false,,60,,,,,Auto,Auto,,,false,,,0,TS-3007,a175E000001tqnSQAQ,,a185E000000r99FQAQ
EUR,Local Text REN,a0s5E000003GcTYQA0,000000,0,false,,65,,,,,Auto,Auto,,,false,,,0,TS-3008,,,a185E000000r99GQAQ
EUR,Goods REN,a0s5E000003GcTYQA0,000000,0,false,,50,,,,,Auto,Auto,,,false,,,0,TS-3006,a175E000001tqnVQAQ,,a185E000000r99HQAQ
EUR,Internal REN,a0s5E000003GcTYQA0,000000,0,false,IMCDwarehousedelivery__c,20,,,,,Auto,Auto,,,false,,,0,TS-3003,a175E000001tqmnQAA,,a185E000000r99IQAQ
EUR,Terms and Validity REN,a0s5E000003GcTYQA0,000000,0,false,,30,,,,,Auto,Auto,,,false,,,0,TS-3004,a175E000001tqmkQAA,,a185E000000r99JQAQ
EUR,Standard Terms,a0s5E000003GcTXQA0,000000,0,false,,80,,,,,Auto,Auto,,,true,,Always,0,TS-1012,a175E000001tqnUQAQ,,a185E000000r99KQAQ
EUR,Renewal Goods (asian),a0s5E000003GcTaQAK,000000,0,false,IsRenewal__c,50,,,,,Auto,Auto,,,false,,,0,TS-2007,a175E000001tqn2QAA,,a185E000000r99LQAQ
EUR,Goods (asian),a0s5E000003GcTaQAK,000000,0,false,IsNotRenewal__c,50,,,,,Auto,Auto,,,false,,,0,TS-2008,a175E000001tqn8QAA,,a185E000000r99MQAQ
EUR,font,a0s5E000003GcTZQA0,,0,false,,,,,,,Auto,Auto,,,false,,,0,TS-4001,a175E000001tqnbQAA,,a185E000000r99NQAQ
EUR,NEUVENDIS details (asian),a0s5E000003GcTaQAK,000000,0,false,IsNEUVENDIS__c,10,,,,,Auto,Auto,,,false,,,0,TS-2001,a175E000001tqn3QAA,,a185E000000r99OQAQ
EUR,Terms and Validity (asian),a0s5E000003GcTaQAK,000000,0,false,,30,,,,,Auto,Auto,,,false,,,0,TS-2005,a175E000001tqn4QAA,,a185E000000r99PQAQ
EUR,Quote Comments (asian),a0s5E000003GcTaQAK,000000,0,false,,60,,,,,Auto,Auto,,,false,,,0,TS-2010,a175E000001tqn6QAA,,a185E000000r99QQAQ
EUR,Small Letters TC (asian),a0s5E000003GcTaQAK,,0,false,,100,,,,,Auto,Auto,,Before,false,,,0,TS-2013,a175E000001tqnBQAQ,,a185E000000r99RQAQ
EUR,Salesrep Details (asian),a0s5E000003GcTaQAK,000000,0,false,,70,,,,,Auto,Auto,,,false,,,0,TS-2011,a175E000001tqn5QAA,,a185E000000r99SQAQ
EUR,with IMCD transport (asian),a0s5E000003GcTaQAK,000000,0,false,IMCDcustomerdelivery__c,20,,,,,Auto,Auto,,,false,,,0,TS-2003,a175E000001tqn9QAA,,a185E000000r99TQAQ
EUR,Standard Terms (asian),a0s5E000003GcTaQAK,000000,0,false,,80,,,,,Auto,Auto,,,true,,Always,0,TS-2012,a175E000001tqnWQAQ,,a185E000000r99UQAQ
EUR,without IMCD transport (asian),a0s5E000003GcTaQAK,000000,0,false,IMCDwarehousedelivery__c,20,,,,,Auto,Auto,,,false,,,0,TS-2004,a175E000001tqnYQAQ,,a185E000000r99VQAQ
EUR,Destination Details (asian),a0s5E000003GcTaQAK,000000,0,false,IMCDcustomerdelivery__c,40,,,,,Auto,Auto,,,false,,,0,TS-2006,a175E000001tqnXQAQ,,a185E000000r99WQAQ
EUR,IMCD details (asian),a0s5E000003GcTaQAK,000000,0,false,IsNotNEUVENDIS__c,10,,,,,Auto,Auto,,,false,,,0,TS-2002,a175E000001tqnAQAQ,,a185E000000r99XQAQ
EUR,GlobalBasis,a0s5E000003GcTXQA0,000000,0,false,IsGlobalBasis__c,55,ContractQty__c,equals,True,,Auto,Auto,,,false,,,0,TS-1009,a175E000001tqncQAA,,a185E000000r99YQAQ
EUR,Contracted Qty (asia),a0s5E000003GcTaQAK,000000,0,false,,55,ContractQty__c,equals,True,,Auto,Auto,,,false,,,0,TS-2009,a175E000001tqndQAA,,a185E000000r99ZQAQ
EUR,Exchange Rate Base,a0s5E000003GcTXQA0,,0,false,IsExchangeRateBase__c,74,,,,,Auto,Auto,,,false,,,0,TS-1019,a175E000001tqneQAA,,a185E000000r99aQAA
EUR,Customer Unpacking Terms,a0s5E000003GcTXQA0,,0,false,CustomerUnpacking__c,76,,,,,Auto,Auto,,,false,,,0,TS-1017,a175E000001tqnfQAA,,a185E000000r99bQAA
EUR,Customer Clearance Terms,a0s5E000003GcTXQA0,,0,false,CustomerClearance__c,75,,,,,Auto,Auto,,,false,,,0,TS-1016,a175E000001tqnCQAQ,,a185E000000r99cQAA
EUR,GlobalFullDetails,a0s5E000003GcTXQA0,000000,0,false,IsGlobalFullDetails__c,55,,,,,Auto,Auto,,,false,,,0,TS-1018,a175E000001tqnDQAQ,,a185E000000r99dQAA
